family,efficiency_mean,efficiency_std,efficiency_min,efficiency_max,total_steps_mean,total_steps_min,total_steps_max,cars_spawned_mean,cars_arrived_mean
A,0.855,0.004,0.851,0.859,586.5,452,922,309.5,263.75
B,0.851,0.001,0.85,0.853,775.375,421,1474,254.0,216.125
C,0.854,0.005,0.851,0.861,589.0,446,873,298.5,254.25
D,0.852,0.003,0.85,0.859,641.5,427,1020,274.125,233.375
E,0.856,0.009,0.85,0.876,600.625,331,1000,318.75,271.625
F,0.503,0.095,0.38,0.678,4001.0,4001,4001,480.625,247.375
G,0.855,0.003,0.85,0.859,642.0,498,1015,329.625,281.0
H,0.852,0.003,0.85,0.859,673.833,447,1303,281.417,239.583
I,0.854,0.004,0.851,0.863,562.667,425,778,275.833,235.0
J,0.533,0.253,0.282,0.857,2859.75,481,4001,438.667,210.083
K,0.853,0.003,0.85,0.86,615.167,332,1017,318.417,271.167
L,0.853,0.004,0.85,0.863,827.062,375,1896,268.875,229.062
M,0.365,0.065,0.289,0.441,4001.0,4001,4001,546.0,199.75
